"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1716335343124038074","Mon Oct 23 06:06:48 +0000 2023","3467","Jika saya akhirnya dukung Ganjar itu jelas karena Mahfud-nya. Negatifnya: tidak suka lihat PDIP (Megawati) berkuasa lagi. Jika akhirnya saya dukung Prabowo itu jelas karena Gibran itu orang yang PALING dipercaya oleh Jokowi untuk lanjutkan programnya. Negatifnya: urusan MK","1716335343124038074","","","in","Mojokerto","152","1084","898","https://x.com/hasyimmah/status/1716335343124038074","185156524","hasyimmah"
"1844754833519312998","Fri Oct 11 15:00:00 +0000 2024","32","'Fufufafa Gibran dan Tumbal Masa Depan Bangsa Demi Kerakusan Jokowi' https://t.co/jlmgaFaORY","1844754833519312998","","","in","Indonesia","2","3","17","https://x.com/democrazymedia/status/1844754833519312998","1243804423001763841","democrazymedia"
"1845061253661851761","Sat Oct 12 11:17:42 +0000 2024","1","mempertahankan kekuasaan militer di tengah gerakan rakyat pro demokrasi yg berupaya menggulingkannya. Sedangkan Gibran memperoleh kursi Wakil Presiden dr manipulasi koruptif Presiden Joko Widodo yg selama 10 tahun tlh menciptakan kebijakan pro-modal&amp;anti-kelas buruh+petani. https://t.co/zzJ5AnUTlw","1845061275472232941","https://pbs.twimg.com/media/GZr5czPaAAUiQlu.jpg","ArahJuang","in","Jakarta, Indonesia","0","1","0","https://x.com/ArahJuang/status/1845061275472232941","1876832857","ArahJuang"
"1845365898116465074","Sun Oct 13 07:28:10 +0000 2024","57","Sambangi Jokowi di Solo Prabowo Semobil dengan Gibran. #newsupdate #update #news #text https://t.co/F4t7L8Wf76","1845365898116465074","","","in","","16","18","21","https://x.com/kumparan/status/1845365898116465074","759692754985242625","kumparan"
"1843118776939909582","Mon Oct 07 02:38:54 +0000 2024","290","JOKOWI CEMAD GIBRAN DI ACUHKAN.... GIBRAN DICUEKIN PRABOWO MULYONO MELIRIK....‼️ #SingkirkanGibranFufufafa #SingkirkanGibranFufufafa 🆘🆗 https://t.co/Pb1XdsanIV","1843118776939909582","https://pbs.twimg.com/ext_tw_video_thumb/1843118735907082240/pu/img/Q10ENywGtHAE9tEC.jpg","","in","","5","29","138","https://x.com/secr3thm4nz56/status/1843118776939909582","1412374538722058244","secr3thm4nz56"
"1844243574449373514","Thu Oct 10 05:08:27 +0000 2024","35"," Saya merasa 2-3 bulan terkahir itu Jokowi sdh lame duck selameduck2nya #ReflyHarun #ILC &gt;&gt; JOKOWI MENGHITUNG HARI GIBRAN DI UJUNG TANDUK. DEMO BESAR PEKAN DEPAN MAU APA?? // SELENGKAPNYA TONTON SEKARANG YOUTUBE ILC https://t.co/N41rgGNcM1 https://t.co/wBTpgZ8YRL","1844243574449373514","https://pbs.twimg.com/ext_tw_video_thumb/1844243407893659648/pu/img/mKYyRJUMZ01VvCKu.jpg","","in","Indonesia","0","2","11","https://x.com/ILCTalkshow/status/1844243574449373514","2421762716","ILCTalkshow"
"1843980502782587041","Wed Oct 09 11:43:06 +0000 2024","3","Nepotisme Jokowi dalam Pencalonan Gibran sebagai Wakil Presiden PRESIDEN Jokowi segera meninggalkan Istana. Dia akan mengakhiri jabatannya setelah 10 tahun berkuasa untuk selanjutnya digantikan Prabowo Subianto yang bakal dilantik pada 20 Oktober mendatang. Selama dua periode https://t.co/ch4ogaZh4A","1843980502782587041","https://pbs.twimg.com/ext_tw_video_thumb/1843975406606749696/pu/img/FpEdFOn_8gOmj-hu.jpg","","in","Jakarta - Indonesia","0","0","0","https://x.com/mediaindonesia/status/1843980502782587041","68930552","mediaindonesia"
"1844538715353575634","Fri Oct 11 00:41:14 +0000 2024","236","// MAHASISWA MUAK // SATRIA NAUFAL (KOORDINATOR PUSAT BEM SELURUH INDONESIA 2024) // #ILC &gt;&gt; JOKOWI MENGHITUNG HARI GIBRAN DI UJUNG TANDUK. DEMO BESAR PEKAN DEPAN MAU APA?? // SELENGKAPNYA TONTON SEKARANG YOUTUBE ILC https://t.co/N41rgGNcM1 https://t.co/oTTd1rdKjS","1844538715353575634","https://pbs.twimg.com/ext_tw_video_thumb/1844538628854382592/pu/img/qcLjFI5_FClxsH6e.jpg","","in","Indonesia","1","18","88","https://x.com/ILCTalkshow/status/1844538715353575634","2421762716","ILCTalkshow"
"1843910478315307078","Wed Oct 09 13:30:51 +0000 2024","22","@jokowi Percuma Mulyono jadi Sales produk lokal kalo istri Gibran harga 1 tas saja 500juta . Fufufafa https://t.co/vDoJUaXqKV","1844007621516517477","https://pbs.twimg.com/media/GZc7KC8awAAmc3N.jpg","jokowi","in","Jakarta Capital Region, Indone","0","2","4","https://x.com/CeciliaSuwanda1/status/1844007621516517477","899597703058817024","CeciliaSuwanda1"
"1284078709851344896","Fri Jul 17 10:53:16 +0000 2020","3626","Makin kasar mainnya... https://t.co/2qRT0wnWgF","1284078709851344896","","","in","Cipayung, Indonesia","145","262","1389","https://x.com/NOTASLIMBOY/status/1284078709851344896","19190361","NOTASLIMBOY"
